platform_label,measurement_label,measurement_depth,measurement_time,value,units
ORCA_Twanoh,H1_Salinity,-3m,1633288554,24.9836,PSU
ORCA_Twanoh,H1_WaterDens,-20m,1633288733,23.1147,kg/m³
ORCA_Twanoh,H1_WaterDens,-25m,1633288794,23.1592,kg/m³
ORCA_Twanoh,H1_WaterDens,-3m,1633288554,18.5686,kg/m³
ORCA_Twanoh,H1_WaterTemp,-20m,1633288733,50.19404,°F
ORCA_Twanoh,H1_WaterTemp,-25m,1633288794,50.48078,°F
ORCA_Twanoh,H1_WaterTemp,-3m,1633288554,56.18138,°F
OSU_CB06,A1_AirTemp,2.1m,1528387200,52.39238,°F
OSU_CB06,A1_BarPress,2.1m,1526151600,30.23331601,inHg
OSU_CB06,A1_CO2Air,3m,1632701820,410.8000,ppm
OSU_CB06,A1_SolarRad,2.1m,1538938800,117.1040,W/m²
OSU_CB06,A1_WindDir,2.7m,1538920800,38.1000,deg (from)
OSU_CB06,A1_WindSpeed,2.7m,1538920800,4.3996965096,knots
OSU_CB06,H1_CO2,-1m,1632701820,383.2000,ppm
OSU_CB06,H1_pH,-1m,1609406220,7.9830,
OSU_CB06,H1_Salinity,-1.5m,1538938800,0.5130,PSU
OSU_CB06,H1_Salinity,-1m,1632701820,32.2700,PSU
OSU_CB06,H1_WaterTemp,-1.5m,1538938800,52.19276,°F
OSU_CB06,H1_WaterTemp,-1m,1632701820,58.424,°F
OSU_CB06,H2_Conductiv,-1.5m,1538938800,0.0759,S/m
OSU_NH10,A1_AirTemp,2.1m,1476406800,50.56574,°F
OSU_NH10,A1_BarPress,2.1m,1409929200,30.15145885,inHg
OSU_NH10,A1_SolarRad,2.1m,1449284400,0.3196,W/m²
OSU_NH10,A1_WindDir,2.7m,1409929200,292.2406,deg (from)
OSU_NH10,A1_WindSpeed,2.7m,1476399600,47.0410248,knots
OSU_NH10,H1_Pressure,-70m,1409929200,70.5210,dbar
OSU_NH10,H1_Salinity,-1.5m,1476446400,32.3261,PSU
OSU_NH10,H1_Salinity,-1m,1492895820,32.1300,PSU
OSU_NH10,H1_WaterTemp,-1.5m,1476446400,54.39596,°F
OSU_NH10,H1_WaterTemp,-1m,1492895820,51.656,°F
OSU_NH10,H2_Conductiv,-1.5m,1476446400,37.6410,S/m
PMELCO2_coastalla,A1_CO2Air,1m,1632701820,407.2000,ppm
PMELCO2_coastalla,H1_CO2,-0.8m,1632701820,272.3000,ppm
PMELCO2_coastalla,H1_pH,-0.8m,1632701820,8.2120,
PMELCO2_coastalla,H1_Salinity,-0.8m,1632701820,25.7300,PSU
PMELCO2_coastalla,H1_WaterTemp,-0.8m,1632701820,79.844,°F
PMELCO2_155w0,A1_CO2Air,1m,1632691020,411.0000,ppm
PMELCO2_155w0,H1_CO2,-0.8m,1632691020,513.7000,ppm
PMELCO2_155w0,H1_Salinity,-0.8m,1323206220,35.1000,PSU
PMELCO2_155w0,H1_WaterTemp,-0.8m,1339449420,81.41,°F
PMELCO2_165e0,A1_CO2Air,1m,1632755820,407.0000,ppm
PMELCO2_165e0,H1_CO2,-0.8m,1632755820,341.9000,ppm
PMELCO2_165e0,H1_pH,-0.8m,1632755820,8.1320,
PMELCO2_165e0,H1_Salinity,-0.8m,1632755820,34.5600,PSU
PMELCO2_165e0,H1_WaterTemp,-0.8m,1632755820,42.224,°F
PMELCO2_165e8s,A1_CO2Air,1m,1632766620,403.7000,ppm
PMELCO2_165e8s,H1_CO2,-0.8m,1632766620,411.4000,ppm
PMELCO2_165e8s,H1_Salinity,-0.8m,1321359420,35.1100,PSU
PMELCO2_165e8s,H1_WaterTemp,-0.8m,1321359420,85.658,°F
PMELCO2_170w,A1_CO2Air,1m,1632766620,403.4000,ppm
PMELCO2_170w,H1_CO2,-0.8m,1632766620,506.1000,ppm
PMELCO2_170w,H1_Salinity,-0.8m,1296821820,35.2400,PSU
PMELCO2_170w,H1_WaterTemp,-0.8m,1296821820,78.386,°F
PMELCO2_HogReef,A1_CO2Air,1m,1544800620,412.6000,ppm
PMELCO2_HogReef,H1_CO2,-0.8m,1544800620,373.8000,ppm
PMELCO2_HogReef,H1_Salinity,-0.8m,1544195820,37.0200,PSU
PMELCO2_HogReef,H1_WaterTemp,-0.8m,1544195820,72.536,°F
PMELCO2_alawai,A1_CO2Air,1m,1613585820,415.5000,ppm
PMELCO2_alawai,H1_CO2,-0.8m,1613585820,420.8000,ppm
PMELCO2_alawai,H1_Salinity,-0.8m,1613585820,34.7200,PSU
PMELCO2_alawai,H1_WaterTemp,-0.8m,1613585820,77.126,°F
PMELCO2_cce1,A1_CO2Air,1m,1632723420,411.9000,ppm
PMELCO2_cce1,H1_CO2,-0.8m,1632723420,391.1000,ppm
PMELCO2_cce1,H1_pH,-0.8m,1632723420,8.0560,
PMELCO2_cce1,H1_Salinity,-0.8m,1632723420,33.3600,PSU
PMELCO2_cce1,H1_WaterTemp,-0.8m,1632723420,64.31,°F
PMELCO2_cce2,A1_CO2Air,1m,1632691020,414.4000,ppm
PMELCO2_cce2,H1_CO2,-0.8m,1632691020,281.4000,ppm
PMELCO2_cce2,H1_pH,-0.8m,1623813420,7.8990,
PMELCO2_cce2,H1_Salinity,-0.8m,1632691020,33.5500,PSU
PMELCO2_cce2,H1_WaterTemp,-0.8m,1632691020,58.838,°F
PMELCO2_cheeca,A1_CO2Air,1m,1632691020,404.4000,ppm
PMELCO2_cheeca,H1_CO2,-0.8m,1632691020,429.8000,ppm
PMELCO2_cheeca,H1_pH,-0.8m,1632691020,8.0020,
PMELCO2_cheeca,H1_Salinity,-0.8m,1631567820,35.6200,PSU
PMELCO2_cheeca,H1_WaterTemp,-0.8m,1631567820,87.584,°F
PMELCO2_chuukk1,A1_CO2Air,1m,1618003020,408.2000,ppm
PMELCO2_chuukk1,H1_CO2,-0.8m,1618003020,419.1000,ppm
PMELCO2_chuukk1,H1_pH,-0.8m,1605475020,7.9270,
PMELCO2_chuukk1,H1_Salinity,-0.8m,1616793420,34.2200,PSU
PMELCO2_chuukk1,H1_WaterTemp,-0.8m,1616793420,83.642,°F
PMELCO2_coastalms,A1_CO2Air,1m,1496092620,408.6000,ppm
PMELCO2_coastalms,H1_CO2,-0.8m,1496092620,322.2000,ppm
PMELCO2_coastalms,H1_pH,-0.8m,1476663420,8.0720,
PMELCO2_coastalms,H1_Salinity,-0.8m,1496092620,22.8900,PSU
PMELCO2_coastalms,H1_WaterTemp,-0.8m,1496092620,80.942,°F
PMELCO2_crescent,A1_CO2Air,1m,1558311420,410.5000,ppm
PMELCO2_crescent,H1_CO2,-0.8m,1558311420,414.3000,ppm
PMELCO2_crescent,H1_Salinity,-0.8m,1558311420,36.6400,PSU
PMELCO2_crescent,H1_WaterTemp,-0.8m,1558311420,75.614,°F
PMELCO2_crimp,A1_CO2Air,1m,1632701820,407.1000,ppm
PMELCO2_crimp,H1_CO2,-0.8m,1632701820,376.9000,ppm
PMELCO2_crimp,H1_pH,-0.8m,1625109420,8.0620,
PMELCO2_crimp,H1_Salinity,-0.8m,1632701820,34.9900,PSU
PMELCO2_crimp,H1_WaterTemp,-0.8m,1632701820,80.852,°F
PMELCO2_firstlanding,A1_CO2Air,1m,1632691020,404.6000,ppm
PMELCO2_firstlanding,H1_CO2,-0.8m,1632691020,458.1000,ppm
PMELCO2_firstlanding,H1_pH,-0.8m,1632691020,7.9350,
PMELCO2_firstlanding,H1_Salinity,-0.8m,1632691020,24.1400,PSU
PMELCO2_firstlanding,H1_WaterTemp,-0.8m,1632691020,75.344,°F
PMELCO2_gakoa,A1_CO2Air,1m,1632701820,412.8000,ppm
PMELCO2_gakoa,H1_CO2,-0.8m,1632701820,303.3000,ppm
PMELCO2_gakoa,H1_pH,-0.8m,1555136220,8.0310,
PMELCO2_gakoa,H1_Salinity,-0.8m,1632701820,27.4500,PSU
PMELCO2_gakoa,H1_WaterTemp,-0.8m,1632701820,50.864,°F
PMELCO2_kaneohe,A1_CO2Air,1m,1632691020,399.0000,ppm
PMELCO2_kaneohe,H1_CO2,-0.8m,1632691020,431.0000,ppm
PMELCO2_kaneohe,H1_pH,-0.8m,1520198220,8.0980,
PMELCO2_kaneohe,H1_Salinity,-0.8m,1632691020,35.2300,PSU
PMELCO2_kaneohe,H1_WaterTemp,-0.8m,1632691020,78.89,°F
PMELCO2_kilonalu,A1_CO2Air,1m,1499300220,402.9000,ppm
PMELCO2_kilonalu,H1_CO2,-0.8m,1499300220,412.6000,ppm
PMELCO2_kilonalu,H1_Salinity,-0.8m,1497367020,34.6500,PSU
PMELCO2_kilonalu,H1_WaterTemp,-0.8m,1497367020,79.97,°F
PMELCO2_kodiak,A1_CO2Air,1m,1460927820,412.2000,ppm
PMELCO2_kodiak,H1_CO2,-0.8m,1460927820,355.0000,ppm
PMELCO2_kodiak,H1_pH,-0.8m,1422479820,7.8940,
PMELCO2_kodiak,H1_Salinity,-0.8m,1460927820,31.2000,PSU
PMELCO2_kodiak,H1_WaterTemp,-0.8m,1460927820,45.482,°F
PMELCO2_laparguera,A1_CO2Air,1m,1632766620,405.4000,ppm
PMELCO2_laparguera,H1_CO2,-0.8m,1632766620,505.5000,ppm
PMELCO2_laparguera,H1_pH,-0.8m,1626027420,7.9530,
PMELCO2_laparguera,H1_Salinity,-0.8m,1632766620,34.3400,PSU
PMELCO2_laparguera,H1_WaterTemp,-0.8m,1632766620,87.998,°F
PMELCO2_m2,A1_CO2Air,1m,1632691020,408.5000,ppm
PMELCO2_m2,H1_CO2,-0.8m,1632691020,313.5000,ppm
PMELCO2_m2,H1_pH,-0.8m,1561907820,8.1500,
PMELCO2_m2,H1_Salinity,-0.8m,1632691020,31.8900,PSU
PMELCO2_m2,H1_WaterTemp,-0.8m,1632691020,49.154,°F
PMELCO2_ndbcga,A1_CO2Air,1m,1632766620,406.6000,ppm
PMELCO2_ndbcga,H1_CO2,-0.8m,1632766620,451.0000,ppm
PMELCO2_ndbcga,H1_pH,-0.8m,1572470220,8.0670,
PMELCO2_ndbcga,H1_Salinity,-0.8m,1626113820,34.7200,PSU
PMELCO2_ndbcga,H1_WaterTemp,-0.8m,1626113820,82.904,°F
PMELCO2_nh,A1_CO2Air,0.8m,1632691020,412.2000,ppm
PMELCO2_nh,H1_CO2,-0.8m,1632691020,347.2000,ppm
PMELCO2_nh,H1_pH,-0.8m,1632691020,8.0840,
PMELCO2_nh,H1_Salinity,-0.8m,1632691020,30.9800,PSU
PMELCO2_nh,H1_WaterTemp,-0.8m,1632691020,65.48,°F
PMELCO2_papa,A1_CO2Air,1m,1632745020,412.2000,ppm
PMELCO2_papa,H1_CO2,-0.8m,1632745020,400.6000,ppm
PMELCO2_papa,H1_pH,-0.8m,1632745020,8.0280,
PMELCO2_papa,H1_Salinity,-0.8m,1632745020,32.2700,PSU
PMELCO2_papa,H1_WaterTemp,-0.8m,1632745020,55.076,°F
PMELCO2_seak,A1_CO2Air,1m,1454523420,409.6000,ppm
PMELCO2_seak,H1_CO2,-0.8m,1454523420,539.4000,ppm
PMELCO2_seak,H1_pH,-0.8m,1422393420,7.9230,
PMELCO2_seak,H1_Salinity,-0.8m,1454523420,31.0200,PSU
PMELCO2_seak,H1_WaterTemp,-0.8m,1454523420,43.7,°F
PMELCO2_whots,A1_CO2Air,1m,1632701820,408.8000,ppm
PMELCO2_whots,H1_CO2,-0.8m,1632701820,407.5000,ppm
PMELCO2_whots,H1_pH,-0.8m,1632701820,8.0470,
PMELCO2_whots,H1_Salinity,-0.8m,1602742620,34.5000,PSU
PMELCO2_whots,H1_WaterTemp,-0.8m,1632701820,79.106,°F
PSI_Baycenter,H1_AlkalinityTot,-0.3m,1560459540,1994.1100,µmol/kg
PSI_Baycenter,H1_OmegaAragSat,-0.3m,1560459540,1.7199,
PSI_Baycenter,H1_Oxygen,-0.3m,1571760642,-0.0200,mg/L
PSI_Baycenter,H1_OxygenSat,-0.3m,1571760642,48.4839,%
PSI_Baycenter,H1_pH,-0.3m,1571760642,7.6484,
PSI_Baycenter,H1_Salinity,-0.3m,1571760642,25.3359,PSU
PSI_Baycenter,H1_TCO2,-0.3m,1560459540,1862.6000,µmol/kg
PSI_Baycenter,H1_WaterTemp,-0.3m,1571760642,55.7429,°F
PSI_Baycenter,H2_CO2,-0.3m,1560459540,494.9500,µatm
PSI_Baycenter,H2_Conductiv,-0.3m,1571760642,3.9713,S/m
PCS_Penncove1,H1_Chlorophyll,-1m,1565013600,12.4800,µg/L
PCS_Penncove1,H1_Chlorophyll,-7m,1565013600,66.4100,µg/L
PCS_Penncove1,H1_Conductiv,-1m,1565013600,32.8000,mS/cm
PCS_Penncove1,H1_Conductiv,-5m,1565010000,0.8810,mS/cm
PCS_Penncove1,H1_Conductiv,-7m,1565013600,31.0900,mS/cm
PCS_Penncove1,H1_Oxygen,-1m,1565013600,9.9600,mg/L
PCS_Penncove1,H1_Oxygen,-5m,1565010000,11.0300,mg/L
PCS_Penncove1,H1_Oxygen,-7m,1565013600,1.0600,mg/L
PCS_Penncove1,H1_OxygenSat,-1m,1565013600,113.1300,%
PCS_Penncove1,H1_OxygenSat,-5m,1565010000,98.9000,%
PCS_Penncove1,H1_OxygenSat,-7m,1565013600,11.8700,%
PCS_Penncove1,H1_pH,-1m,1565013600,8.0600,
PCS_Penncove1,H1_pH,-5m,1565010000,8.1800,
PCS_Penncove1,H1_pH,-7m,1565013600,8.2800,
PCS_Penncove1,H1_Salinity,-1m,1565013600,26.9300,PSU
PCS_Penncove1,H1_Salinity,-5m,1565010000,0.4300,PSU
PCS_Penncove1,H1_Salinity,-7m,1565013600,25.5200,PSU
PCS_Penncove1,H1_WaterTemp,-1m,1562320800,56.44004,°F
PCS_Penncove1,H1_WaterTemp,-5m,1527004800,51.60002,°F
PCS_Penncove1,H1_WaterTemp,-7m,1565013600,56.06006,°F
CARLSBD_Aquafarm1,H1_AlkalinityTot,-1m,1546295631,2228.1700,µmol/kg
CARLSBD_Aquafarm1,H1_OmegaAragSat,-1m,1546295631,2.2362,
CARLSBD_Aquafarm1,H1_OmegaAragSat,-4.5m,1586257224,6.0850,
CARLSBD_Aquafarm1,H1_OxygenSat,-1m,1489101413,39.9500,%
CARLSBD_Aquafarm1,H1_pH,-1m,1546295631,8.0178,
CARLSBD_Aquafarm1,H1_pH,-4.5m,1586257224,8.6333,
CARLSBD_Aquafarm1,H1_Pressure,-4.5m,1586257224,4.2850,dbar
CARLSBD_Aquafarm1,H1_Salinity,-1m,1546295631,33.2170,PSU
CARLSBD_Aquafarm1,H1_Salinity,-4.5m,1586257224,31.0734,PSU
CARLSBD_Aquafarm1,H1_TCO2,-1m,1548958217,2219.3200,µmol/kg
CARLSBD_Aquafarm1,H1_WaterTemp,-1m,1546295631,58.75862,°F
CARLSBD_Aquafarm1,H1_WaterTemp,-4.5m,1586257224,61.21058,°F
CARLSBD_Aquafarm1,H2_CO2,-1m,1546295631,394.5000,µatm
CARLSBD_Aquafarm1,H4_Oxygen,-4.5m,1586257224,240.5583,µmol/kg
KC_SEAQYSI,A1_AirTemp,7.6m,1552592700,-3.9999999998486E-5,°F
KC_SEAQYSI,A1_BarPress,7.6m,1552591800,30.360336352,inHg
KC_SEAQYSI,A1_PhotActiveRad,7.6m,1552591800,0.0000,µE/m²*s
KC_SEAQYSI,A1_RelHumidity,7.6m,1552591800,59.7000,%
KC_SEAQYSI,A1_WindDir,7.6m,1552592700,10.0000,deg (from)
KC_SEAQYSI,A1_WindSpeed,7.6m,1552591800,5.2483788,knots
KC_SEAQYSI,A2_Rain,7.6m,1552591800,0.0000,in
KC_SEAQYSI,H1_Chlorophyll,-10m,1633297500,0.8700,µg/L
KC_SEAQYSI,H1_Chlorophyll,-1m,1633297500,0.8700,µg/L
KC_SEAQYSI,H1_CO2,-10m,1440464347,814.3974,ppm
KC_SEAQYSI,H1_Oxygen,-10m,1633297500,5.9700,mg/L
KC_SEAQYSI,H1_Oxygen,-1m,1633297500,6.3700,mg/L
KC_SEAQYSI,H1_OxygenSat,-10m,1633297500,68.7000,%
KC_SEAQYSI,H1_OxygenSat,-1m,1633297500,73.2000,%
KC_SEAQYSI,H1_pH,-10m,1633297500,7.7900,
KC_SEAQYSI,H1_pH,-1m,1633297500,8.0200,
KC_SEAQYSI,H1_Salinity,-10m,1633297500,30.3410,PSU
KC_SEAQYSI,H1_Salinity,-1m,1633297500,29.7420,PSU
KC_SEAQYSI,H1_Turbidity,-10m,1633297500,0.2100,NTU
KC_SEAQYSI,H1_Turbidity,-1m,1633297500,0.2600,NTU
KC_SEAQYSI,H1_WaterTemp,-10m,1633297500,55.661,°F
KC_SEAQYSI,H1_WaterTemp,-1m,1633297500,55.8788,°F
STA_Sitka1,H1_AlkalinityTot,-1m,1621473016,1965.7100,µmol/kg
STA_Sitka1,H1_OmegaAragSat,-1m,1621473016,3.5437,
STA_Sitka1,H1_OxygenSat,-1m,1501697438,39.9500,%
STA_Sitka1,H1_pH,-1m,1621473016,8.4722,
STA_Sitka1,H1_Salinity,-1m,1621473016,27.6789,PSU
STA_Sitka1,H1_TCO2,-1m,1621473016,1645.4800,µmol/kg
STA_Sitka1,H1_WaterTemp,-1m,1621473016,50.99216,°F
STA_Sitka1,H2_CO2,-1m,1621465906,114.9800,µatm
TAF_Dabobbay,H1_AlkalinityTot,-4.5m,1571950796,2011.8100,µmol/kg
TAF_Dabobbay,H1_OmegaAragSat,-4.5m,1571950796,0.8678,
TAF_Dabobbay,H1_OxygenSat,-4.5m,1513015714,79.6000,%
TAF_Dabobbay,H1_pH,-4.5m,1571950796,7.6912,
TAF_Dabobbay,H1_Salinity,-4.5m,1571950796,29.2673,PSU
TAF_Dabobbay,H1_TCO2,-4.5m,1571097654,2001.3500,µmol/kg
TAF_Dabobbay,H1_WaterTemp,-4.5m,1571950796,53.1419,°F
TAF_Dabobbay,H2_CO2,-4.5m,1571950796,848.2800,µatm
WCSH_Whiskey1,H1_AlkalinityTot,-4m,1569085385,2228.0000,µmol/kg
WCSH_Whiskey1,H1_OmegaAragSat,-4m,1569085385,1.8824,
WCSH_Whiskey1,H1_OxygenSat,-4m,1475512998,33.4900,%
WCSH_Whiskey1,H1_pH,-4m,1569085385,7.9190,
WCSH_Whiskey1,H1_Salinity,-4m,1569085385,31.7334,PSU
WCSH_Whiskey1,H1_TCO2,-4m,1560449527,2086.6500,µmol/kg
WCSH_Whiskey1,H1_WaterTemp,-4m,1569085385,63.13262,°F
WCSH_Whiskey1,H2_CO2,-4m,1569085385,554.2300,µatm
cencoos_Carquinez,H1_Chlorophyll,-17.85m,1564502487,2.3000,µg/L
cencoos_Carquinez,H1_Conductiv,-17.85m,1564502487,22.3320,mS/cm
cencoos_Carquinez,H1_Oxygen,-17.85m,1564502487,7030.0000,mg/L
cencoos_Carquinez,H1_OxygenSat,-17.85m,1564502487,85.5000,%
cencoos_Carquinez,H1_pH,-17.85m,1564502487,7.8800,
cencoos_Carquinez,H1_Pressure,-17.85m,1564502487,17.8490,dbar
cencoos_Carquinez,H1_Salinity,-17.85m,1564502487,14.8200,PSU
cencoos_Carquinez,H1_Turbidity,-17.85m,1564502487,39.4000,NTU
cencoos_Carquinez,H1_WaterTemp,-17.85m,1564502487,69.206,°F
cencoos_Humboldt,A1_PhotActiveRad,6m,1563821100,3.1200,µE/m²*s
cencoos_Humboldt,A1_SolarRad,6m,1563821100,2.0600,W/m²
cencoos_Humboldt,H1_Chlorophyll,-1.74m,1564475400,6.5000,µg/L
cencoos_Humboldt,H1_Conductiv,-1.74m,1564475400,518.7000,mS/cm
cencoos_Humboldt,H1_Oxygen,-1.74m,1564475400,8770.0000,mg/L
cencoos_Humboldt,H1_OxygenSat,-1.74m,1564475400,102.0000,%
cencoos_Humboldt,H1_pH,-1.74m,1564475400,7.9400,
cencoos_Humboldt,H1_Pressure,-1.74m,1564475400,1.7400,dbar
cencoos_Humboldt,H1_Salinity,-1.74m,1564475400,34.0500,PSU
cencoos_Humboldt,H1_Turbidity,-1.74m,1564475400,4.4000,NTU
cencoos_Humboldt,H1_WaterDepth,-1.74m,1564475400,5.7086616,ft
cencoos_Humboldt,H1_WaterTemp,-1.74m,1564475400,54.644,°F
cencoos_Tiburon,H1_Chlorophyll,-16.17m,1564505346,3.9000,µg/L
cencoos_Tiburon,H1_Conductiv,-16.17m,1564505346,34.5580,mS/cm
cencoos_Tiburon,H1_Oxygen,-16.17m,1564505346,7870.0000,mg/L
cencoos_Tiburon,H1_OxygenSat,-16.17m,1564505346,96.5000,%
cencoos_Tiburon,H1_pH,-16.17m,1564505346,7.5700,
cencoos_Tiburon,H1_Pressure,-16.17m,1564505346,16.1720,dbar
cencoos_Tiburon,H1_Salinity,-16.17m,1564505346,25.6600,PSU
cencoos_Tiburon,H1_Turbidity,-16.17m,1564505346,522.7000,NTU
cencoos_Tiburon,H1_WaterTemp,-16.17m,1564505346,64.004,°F
cencoos_Trinidad,H1_Chlorophyll,-3.71m,1564170300,9.1000,µg/L
cencoos_Trinidad,H1_Oxygen,-3.71m,1564170300,12700.0000,mg/L
cencoos_Trinidad,H1_OxygenSat,-3.71m,1564170300,148.5000,%
cencoos_Trinidad,H1_pH,-3.71m,1564170300,8.0800,
cencoos_Trinidad,H1_Pressure,-3.71m,1564170300,3.7100,dbar
cencoos_Trinidad,H1_Salinity,-3.71m,1564170300,33.7100,PSU
cencoos_Trinidad,H1_Turbidity,-3.71m,1564170300,1.9000,NTU
cencoos_Trinidad,H1_WaterDepth,-3.71m,1564170300,12.1719164,ft
cencoos_Trinidad,H1_WaterTemp,-3.71m,1564170300,55.274,°F
